"STUDENT_NUMBER","GRADE_LEVEL","WEEKHOURS"
124036,9,22.3697916666667
121672,9,24.4460227272727
121736,9,25.1775568181818
126411,9,25.2272727272727
121609,9,25.6770833333333
121570,9,24.9289772727273
121535,9,25.0544507575758
126478,9,25.1112689393939
126486,9,24.7727272727273
124868,9,23.8494318181818
126444,9,26.4346590909091
122728,9,24.9337121212121
121607,9,25.859375
122691,9,25.8191287878788
125405,9,26.0014204545455
122281,9,22.6491477272727
121567,9,25.7575757575758
123162,9,22.7840909090909
123965,9,29.6732954545455
125952,11,19.4933712121212
126448,9,21.2002840909091
126581,9,25.7859848484848
121837,9,27.2940340909091
126484,11,20.2249053030303
120882,10,24.84375
122530,10,27.9285037878788
125801,10,28.1747159090909
125404,10,25.3835227272727
122276,9,26.5625
120962,10,23.2457386363636
126439,10,25.0994318181818
120993,10,24.7514204545455
120939,10,25.7125946969697
125359,10,25.0260416666667
121003,10,24.6070075757576
125730,10,24.045928030303
122275,10,23.7192234848485
120959,10,23.3451704545455
120995,10,26.5696022727273
125759,10,24.6756628787879
125735,10,23.5298295454545
121025,10,25.1846590909091
121044,10,25.4166666666667
125297,9,23.9417613636364
126392,10,24.6590909090909
125360,10,26.3257575757576
126782,11,22.7035984848485
120888,10,24.6590909090909
120892,10,23.4090909090909
125748,10,23.9962121212121
122242,10,26.4488636363636
124715,10,24.921875
122712,10,25.6226325757576
121027,10,24.1619318181818
123600,11,20.2182765151515
126766,11,23.4535984848485
120502,11,24.0984848484848
125124,11,23.2779356060606
120043,11,21.4488636363636
125532,11,19.921875
125240,11,21.7144886363636
124975,11,21.484375
125120,11,21.1557765151515
125180,11,24.2135416666667
124429,11,20.7012310606061
124939,11,19.6235795454545
124508,11,18.6434659090909
125882,11,18.8948863636364
121359,11,20.8001893939394
123783,11,17.795928030303
120210,12,21.5691287878788
123801,12,24.7357954545455
120241,12,24.3106060606061
122250,12,13.7405303030303
119848,12,15.3167613636364
119704,12,18.1515151515152
125544,12,17.0430871212121
120523,11,19.4034090909091
121697,12,18.0587121212121
125883,11,23.3527462121212
119607,12,18.2433712121212
119293,12,22.7395833333333
124550,12,18.4280303030303
120728,12,18.2357954545455
119650,12,15.7481060606061
121630,9,23.8612689393939
121381,12,14.5099431818182
120794,12,18.8399621212121
125112,11,20.3409090909091
119359,12,15.7125946969697
121568,9,24.6875
125728,10,23.8778409090909
125050,10,25.0355113636364
126435,9,24.4294507575758
122869,9,26.25
120372,10,24.5028409090909
123217,10,25.0331439393939
120416,11,25.030303030303
125464,10,27.4739583333333
121067,10,25.4616477272727
124693,12,10.0449810606061
126828,12,21.9460227272727
119177,11,21.3020833333333
120452,11,30.5658143939394
124573,12,16.9488636363636
124402,12,14.2092803030303
119231,12,15.6581439393939
124209,12,12.5
124544,12,30.5890151515152
123312,11,23.8517992424242
121658,9,24.5430871212121
121001,10,24.4176136363636
120904,10,23.0681818181818
120538,11,22.157196969697
125403,12,20.530303030303
119923,12,18.2575757575758
126425,9,24.9715909090909
126614,9,25.0284090909091
123761,9,23.2362689393939
122716,9,25.9943181818182
121638,9,24.9715909090909
124929,9,25.0284090909091
123211,9,25.0284090909091
121595,9,26.5246212121212
122245,9,25.0473484848485
126450,9,26.4985795454545
126482,9,24.9289772727273
126422,9,23.4090909090909
121663,9,26.2997159090909
123381,9,26.233428030303
125083,9,26.5482954545455
125724,10,22.6680871212121
121070,10,27.6136363636364
120958,10,24.4081439393939
125729,10,25.1420454545455
121006,10,25.9824810606061
126908,10,23.2552083333333
123966,10,24.9289772727273
124943,10,25.0568181818182
121039,10,26.171875
122440,10,24.6377840909091
125797,10,24.6898674242424
120969,10,23.5653409090909
125722,10,25.15625
120942,10,24.3678977272727
123641,10,26.4488636363636
121614,10,22.1448863636364
120965,10,25.6321022727273
122280,10,24.2992424242424
121000,10,25.9943181818182
121031,10,26.233428030303
123321,10,22.3177083333333
120515,11,19.1761363636364
125864,11,21.4914772727273
123121,11,22.6160037878788
122355,11,24.7504734848485
124941,11,22.1439393939394
125386,11,22.4337121212121
120397,11,19.1761363636364
120508,11,24.9313446969697
122211,11,24.1964962121212
120367,11,22.5052083333333
125162,11,23.9824810606061
120527,11,23.8844696969697
125802,11,22.3082386363636
121802,11,23.28125
122775,10,25.7741477272727
120501,11,20.9924242424242
125069,11,23.4578598484848
124042,11,19.1931818181818
120361,11,20.3267045454545
120056,12,18.0658143939394
125031,12,15.4648526077098
124543,12,13.2788825757576
120234,12,16.5317234848485
124583,12,18.297821969697
123668,12,18.9351325757576
121024,10,23.6671401515152
119670,12,15.5445075757576
123616,9,30.9161931818182
125164,11,23.655303030303
125966,10,21.936553030303
124060,12,17.9663825757576
123744,9,24.7064393939394
125185,11,21.5482954545455
124985,9,25.5894886363636
125762,10,24.8792613636364
125931,9,24.9100378787879
121549,9,23.5487689393939
123232,11,18.9891098484848
121068,10,27.9616477272727
121675,9,25.5113636363636
121611,9,26.6193181818182
122690,9,28.0610795454545
121709,9,25.1136363636364
121028,10,29.860321969697
120960,10,25.2817234848485
125143,11,18.3143939393939
125209,11,16.155303030303
120992,10,24.9360795454545
123260,10,33.5961174242424
124581,12,11.4725378787879
119337,12,16.4839015151515
122251,12,10.1160037878788
126576,10,21.9460227272727
119593,12,16.1742424242424
122406,12,17.2679924242424
121042,10,25.8925189393939
120537,11,23.2717803030303
119523,12,9.36316287878788
119524,12,25.2419507575758
119943,12,13.7878787878788
123253,12,14.2234848484848
119621,12,18.2840909090909
124564,12,15.4195011337868
121856,10,32.0880681818182
125354,9,24.3323863636364
122022,9,25.8214962121212
126434,9,24.3181818181818
123104,11,17.5639204545455
125408,9,25.8238636363636
124525,12,23.3598484848485
124933,10,25.1680871212121
119423,12,14.8745265151515
126413,9,25.4592803030303
126498,9,27.3366477272727
121602,9,25.7078598484848
121603,9,25.0852272727273
121680,9,26.7826704545455
121558,9,25.1491477272727
121671,9,23.5085227272727
124498,9,25.8214962121212
121691,9,24.9502840909091
126407,9,26.0085227272727
123061,9,25.4829545454545
120937,10,24.4744318181818
122944,9,25.9232954545455
126430,9,22.2372159090909
125940,9,26.2144886363636
125548,9,28.0610795454545
123385,9,24.0767045454545
121677,9,24.9786931818182
123800,9,26.6903409090909
125739,10,24.4176136363636
125744,10,23.3357007575758
120985,10,26.2452651515152
125838,10,24.2329545454545
125841,10,28.8731060606061
121629,9,24.7159090909091
126558,10,23.6482007575758
125737,10,23.0871212121212
121643,9,26.40625
120997,10,23.2575757575758
126800,10,22.7627840909091
122771,10,21.1150568181818
120886,10,18.9204545454545
120933,10,22.9545454545455
123689,10,24.7987689393939
125833,10,20.6676136363636
125146,11,21.2784090909091
125116,11,18.921875
120505,11,17.9616477272727
122309,11,18.4190340909091
120436,11,27.3200757575758
120991,10,27.5
120364,11,25.0875946969697
121112,11,22.1714015151515
120504,11,24.1893939393939
121366,11,17.7888257575758
119672,11,22.0596590909091
125130,11,26.9152462121212
120615,11,17.4289772727273
120819,12,24.1927083333333
124501,12,12.7133333333333
124333,12,14.2566287878788
120137,12,14.780303030303
122210,12,18.0757575757576
120105,12,17.1657196969697
120516,11,19.4176136363636
119883,12,17.2750946969697
119437,12,21.233428030303
119508,12,15.2954545454545
124076,11,23.8257575757576
123567,11,23.9455492424242
119472,12,11.6875
119493,12,24.7627840909091
120503,11,25.9498106060606
122196,12,13.7121212121212
124548,12,15.0099431818182
126186,9,25.0828598484848
121035,10,27.0383522727273
122688,12,14.7703598484848
125361,10,21.311553030303
121571,9,24.2045454545455
120529,11,24.8371212121212
120173,12,20.8939393939394
120964,10,24.9455492424242
119507,12,23.030303030303
121687,9,24.9550189393939
121583,9,24.9786931818182
121548,9,24.9976325757576
124521,12,16.5352564102564
121707,9,23.8612689393939
121021,11,21.7310606060606
122331,12,18.3120265151515
121585,9,28.0610795454545
121459,12,22.0994318181818
126633,10,24.7987689393939
123613,12,20.2192234848485
125746,10,24.296875
120356,11,24.53125
125091,10,25.0852272727273
125266,12,21.9460227272727
119263,12,14.8243371212121
124745,12,15.5402462121212
125063,12,16.735321969697
120052,12,13.3333333333333
124062,10,26.0511363636364
123758,11,15.2391098484848
120588,11,25.0639204545455
120889,10,30.5658143939394
121083,10,30.5658143939394
120449,11,30.5658143939394
124566,12,12.3058712121212
120714,11,20.8854166666667
120519,11,26.2760416666667
123978,12,14.514678030303
122618,11,28.9767992424242
126453,9,24.0033143939394
124987,9,24.8768939393939
122772,9,24.436553030303
125353,9,24.3394886363636
125839,10,22.1851325757576
125117,11,19.1647727272727
120451,11,19.4791666666667
119470,12,19.985321969697
126387,10,23.4753787878788
123112,12,22.8546401515152
126599,12,9.13832199546485
120551,11,11.5843621399177
121598,9,24.8863636363636
125847,9,26.6264204545455
126497,9,23.9559659090909
121533,9,25.7741477272727
125355,9,24.6875
125296,9,25.15625
121552,9,22.8409090909091
120881,9,24.1903409090909
121661,9,25.1349431818182
123620,9,27.7556818181818
121656,9,25.2107007575758
123334,10,25.1538825757576
125949,9,28.0610795454545
121562,9,25.0473484848485
126415,9,28.0610795454545
125073,9,26.6619318181818
125915,11,17.405303030303
120978,10,26.6136363636364
121938,10,23.9464962121212
120896,10,25.4900568181818
123976,9,26.5175189393939
124061,10,25.061553030303
121020,10,23.4422348484848
120895,10,25.3267045454545
125865,10,24.9578598484848
121644,10,23.6055871212121
120980,10,25.9659090909091
124931,10,28.3143939393939
123768,10,26.640625
124880,10,26.5577651515152
120946,10,26.5364583333333
126579,10,22.8693181818182
125886,10,27.5023674242424
126799,12,13.0752840909091
121701,10,24.8934659090909
120975,10,24.5809659090909
124879,10,25.8546401515152
121022,10,26.5482954545455
125107,11,20.938446969697
120480,11,24.4389204545455
125890,11,20.438446969697
120507,11,18.7921401515152
123591,11,18.922821969697
120539,11,20.3053977272727
123176,11,21.25
125938,11,21.9815340909091
120478,11,20.3882575757576
125037,11,15.7135076252723
124549,12,12.9995265151515
125144,11,22.03125
122757,11,20.3196022727273
124720,12,13.8802083333333
123113,12,20.3214962121212
124425,12,26.1429924242424
121537,9,26.0179924242424
119849,12,15.7457386363636
125029,12,19.9881628787879
119651,12,21.2121212121212
119510,12,16.3063446969697
119692,12,16.5719696969697
124522,12,15.1652462121212
124911,12,18.0800189393939
124526,12,19.4796401515152
121004,10,27.2017045454545
121597,9,25.0426136363636
121540,9,25.0355113636364
123105,11,19.1264204545455
126601,10,22.1661931818182
120483,11,25.3948863636364
124743,10,17.6775568181818
120494,11,21.0160984848485
125300,10,21.4630681818182
120552,11,20.6676136363636
125038,12,22.3200757575758
121084,10,23.577178030303
125226,12,16.6314102564103
124664,9,24.9715909090909
121667,9,24.8792613636364
121608,9,26.2784090909091
126509,9,27.5
120610,11,20.5591856060606
125830,10,23.1960227272727
124502,12,17.2679924242424
119652,12,8.63162878787879
123174,10,26.3636363636364
120901,10,23.0681818181818
125741,10,25.4356060606061
121030,10,25.1751893939394
126600,10,21.9460227272727
119638,12,22.6964962121212
124940,11,31.4891098484848
120162,12,18.0563446969697
121814,12,18.1652462121212
121550,9,24.2092803030303
123228,12,16.264678030303
120399,11,22.1590909090909
119885,12,24.795928030303
126485,9,24.6306818181818
125808,10,26.4630681818182
125691,10,8.63821138211382
126793,9,24.5667613636364
125848,9,25.3764204545455
126431,9,27.1164772727273
121615,9,25.5184659090909
126451,9,24.8129734848485
124876,9,25.0899621212121
126544,9,24.8934659090909
121554,9,26.6003787878788
125131,9,24.6851325757576
121623,9,25
125098,9,24.3726325757576
126488,9,22.4479166666667
124102,9,24.1335227272727
126493,9,23.264678030303
124491,10,28.203125
126472,9,28.0610795454545
126429,9,22.0809659090909
121654,9,24.3678977272727
122783,9,26.5246212121212
123651,10,29.84375
125352,9,28.0610795454545
121627,9,25.6676136363636
123640,10,24.0743371212121
120953,10,22.5
120876,10,25.4403409090909
121046,10,24.4767992424242
121639,9,29.8295454545455
122697,9,26.1079545454545
125863,10,24.5809659090909
120877,10,29.4578598484848
123666,10,27.327178030303
120936,10,23.5653409090909
122407,10,25.078125
120941,10,24.592803030303
120890,10,24.3963068181818
120945,10,24.749053030303
120357,11,21.9460227272727
125922,11,22.9829545454545
121590,10,27.4668560606061
125534,10,26.8323863636364
125789,10,25.1467803030303
125761,10,21.5980113636364
120977,10,23.9607007575758
120517,11,20.250946969697
121221,11,18.6434659090909
120461,11,17.4625946969697
125115,11,24.1316287878788
125136,11,18.749053030303
120454,11,18.7836174242424
125951,11,22.1714015151515
122228,11,23.0355113636364
120522,11,19.000946969697
119453,12,18.4722222222222
123634,11,21.0866477272727
125277,11,20.703125
125385,12,16.5956439393939
119925,12,14.860321969697
125347,12,20.532196969697
120033,12,16.0932765151515
120296,12,22.5284090909091
124518,12,13.8347537878788
123273,9,27.4076704545455
120593,12,17.8120265151515
120412,12,21.9981060606061
120587,12,14.4251893939394
120116,12,19.6373106060606
119783,12,18.3162878787879
119304,12,22.546875
125859,11,20.8361742424242
119366,12,20.2267992424242
125223,11,23.1581439393939
123225,12,19.4171401515152
123062,11,20.920928030303
120481,11,21.3541666666667
120014,12,16.7608901515152
124590,12,15.9043560606061
125775,11,23.3304924242424
120968,10,24.5904356060606
125749,12,18.5407196969697
121577,9,25.1278409090909
121017,10,26.6714015151515
125186,11,24.1496212121212
126487,9,25.8309659090909
122780,10,26.9554924242424
122779,11,19.4034090909091
120531,11,24.0482954545455
121200,12,17.9663825757576
123224,12,17.4289772727273
120310,12,17.4644886363636
120469,11,24.1832386363636
125725,10,26.5625
120617,12,19.9692234848485
123747,10,22.6775568181818
122692,12,20.2746212121212
123234,9,25.7528409090909
119983,12,23.6245265151515
119320,12,17.109375
126489,9,20.1207386363636
120518,11,17.7201704545455
125812,9,25.7741477272727
121826,9,27.7627840909091
121632,9,24.8224431818182
123129,10,24.921875
124545,12,21.46875
121036,10,23.2149621212121
120974,10,25.0568181818182
120447,11,23.4801136363636
125163,11,20.0681818181818
124394,12,15.3301282051282
126005,12,14.7679924242424
121043,10,24.9526515151515
121050,10,24.7632575757576
124213,11,17.6065340909091
120431,11,18.6434659090909
120362,11,22.0184659090909
123333,12,21.2168560606061
121361,12,15.8877840909091
124825,12,28.9767992424242
125387,11,28.9767992424242
124542,12,28.9767992424242
122248,11,15.1278409090909
124536,10,32.0880681818182
123262,10,32.0880681818182
120547,11,29.8101325757576
119264,12,30.4592803030303
124582,12,28.9767992424242
120900,10,22.874053030303
124075,11,18.1392045454545
120446,11,18.7263257575758
120525,11,20.5823863636364
119416,12,20.967803030303
119209,12,19.7561553030303
119318,12,8.78205128205128
121647,9,26.5577651515152
126433,9,21.7992424242424
121559,9,24.1477272727273
121631,9,26.7140151515152
121674,9,24.8792613636364
122889,9,26.3139204545455
121666,9,25.0852272727273
121573,9,26.4701704545455
121625,9,25.5752840909091
125410,9,22.8030303030303
122940,9,24.6448863636364
124874,9,25.0544507575758
120543,10,23.7571022727273
120893,10,24.3181818181818
124017,10,27.4976325757576
123070,11,22.5430871212121
120898,10,26.9412878787879
121685,9,25.1491477272727
121601,9,25.8120265151515
122274,10,24.3655303030303
123665,10,25.8238636363636
120951,10,25.15625
120996,10,22.6041666666667
125468,10,22.9758522727273
120956,10,23.9417613636364
121458,10,25.0378787878788
125523,10,24.7798295454545
124935,10,23.7144886363636
121924,10,24.749053030303
125753,10,24.9715909090909
120954,10,23.5227272727273
124080,11,25.2367424242424
122838,11,19.9128787878788
125195,11,20.4147727272727
120376,11,18.0397727272727
123031,11,24.1155303030303
125420,11,18.0345643939394
120655,11,23.5558712121212
125142,11,22.4933712121212
125874,11,21.2121212121212
120401,11,24.8939393939394
121962,11,21.7376893939394
123226,12,15.9824810606061
124972,11,20.5852272727273
120398,11,17.4195075757576
124988,11,19.8484848484848
125150,11,20.4545454545455
120455,11,22.2869318181818
125129,11,18.7525406504065
122179,12,7.14725378787879
124528,12,14.9100378787879
119243,12,24.7357954545455
126572,12,18.7542613636364
121777,12,17.6657196969697
123239,12,19.2869318181818
124404,12,16.5369318181818
119693,12,20.3461174242424
119485,12,19.3768939393939
124591,12,17.8764204545455
119805,12,19.109375
121544,9,21.7305871212121
125368,11,24.7225378787879
121572,9,26.5909090909091
121541,9,24.6875
120972,10,27.3413825757576
120973,10,26.8465909090909
121515,12,23.2689393939394
120101,12,13.342803030303
120487,11,19.84375
120549,11,24.0359848484848
121596,9,25.1633522727273
121664,9,21.875
121616,9,25.9161931818182
121618,9,23.9464962121212
126447,9,25.625
121026,10,21.4573863636364
125831,10,21.9460227272727
123254,12,14.6141098484848
124695,12,10.9592803030303
120948,10,26.657196969697
120403,11,23.4535984848485
124529,12,22.7291666666667
125090,12,19.3210227272727
125109,11,19.735321969697
123583,11,28.9767992424242
120448,11,28.9767992424242
119238,12,28.9767992424242
125742,10,24.4176136363636
123258,12,19.0648674242424
122700,12,20.8233901515152
121037,10,25.9588068181818
120147,12,20.1041666666667
121542,9,24.0648674242424
126432,9,25.7457386363636
126483,9,26.4559659090909
126446,9,26.7211174242424
121670,9,25.4403409090909
121551,9,24.5383522727273
123172,9,28.1510416666667
125358,9,24.4744318181818
123136,9,24.5714962121212
121673,9,24.3892045454545
121734,9,25.1704545454545
123221,9,25.0544507575758
121014,10,24.4862689393939
126440,9,23.3451704545455
123566,9,24.827178030303
121646,9,24.8082386363636
121547,9,26.4038825757576
126474,9,27.3579545454545
126427,9,26.5553977272727
123867,9,24.8129734848485
125295,10,24.3631628787879
121621,9,25.0544507575758
123177,11,19.2518939393939
120938,10,23.5464015151515
121049,10,24.7987689393939
125866,10,28.0610795454545
121789,10,23.9109848484848
124029,10,22.1022727272727
125760,10,30.3764204545455
120902,10,23.2315340909091
126586,10,20.5965909090909
125867,11,21.5625
125727,10,26.0961174242424
124878,10,26.9412878787879
122219,10,23.7973484848485
125736,10,23.8068181818182
124163,11,20.5255681818182
125159,11,21.4938446969697
120363,11,18.0842803030303
120096,11,18.7836174242424
120406,11,21.640625
125182,11,26.9152462121212
121746,11,22.109375
124162,11,19.4767992424242
121720,11,19.2168560606061
120521,11,22.5265151515152
119553,12,25.545928030303
120426,11,18.5558712121212
122249,11,24.0975378787879
120509,11,17.6846590909091
120650,11,20.5018939393939
120512,11,19.5052083333333
124588,12,11.6714285714286
124484,12,21.5833333333333
119995,12,15.3314393939394
119499,12,21.2125946969697
119856,12,17.7017045454545
120000,12,15.0137310606061
119218,12,19.0648674242424
119790,12,17.5894886363636
121778,9,26.9412878787879
124488,12,19.3210227272727
119680,12,20.0279356060606
122220,12,17.6321022727273
120216,12,23.9128787878788
119830,12,18.1770833333333
119938,12,16.5482954545455
119717,12,20.0066287878788
125747,10,24.8129734848485
120955,10,25.546875
120550,11,22.5383522727273
125763,10,27.4076704545455
125732,10,23.4067234848485
120880,10,28.1747159090909
126767,11,18.7713068181818
123120,9,25.5752840909091
124942,10,26.9318181818182
125764,10,24.079071969697
125765,10,23.5203598484848
125840,11,22.577178030303
125970,12,20.1349431818182
124694,12,14.6392045454545
123675,12,24.03125
125779,10,22.2064393939394
120408,11,16.780303030303
124403,12,25.4114583333333
124059,10,26.077178030303
121399,12,18.7604166666667
122243,12,15.7481060606061
120277,12,17.8650568181818
124347,12,14.8821022727273
124160,12,18.1302083333333
125169,11,18.9730113636364
119941,12,30.4592803030303
120463,11,28.9767992424242
125362,11,28.9767992424242
125388,11,29.6775568181818
124565,12,20.1923076923077
121617,9,25.5421401515152
124083,11,19.7372159090909
124161,11,16.9720643939394
124500,12,29.3953598484848
120243,12,19.547821969697
123576,11,20.0118371212121
119872,12,15.2258522727273
125092,11,21.9801136363636
119450,12,17.0075757575758
125450,11,5.42664670658683
121693,9,24.8484848484848
126423,9,25.0923295454545
122353,9,26.6193181818182
126443,9,24.6425189393939
126480,9,24.1832386363636
121584,9,25.4663825757576
126437,9,24.7561553030303
126481,9,24.0127840909091
121619,9,23.1676136363636
125357,9,26.4701704545455
121906,9,26.2997159090909
121733,9,23.671875
125466,9,24.3039772727273
124512,9,23.4280303030303
121543,9,25.0071022727273
120520,11,31.4616477272727
125869,10,26.4711174242424
124534,9,23.5487689393939
126587,9,27.1946022727273
121657,9,23.7831439393939
121642,9,25.0544507575758
121600,9,23.8186553030303
122233,10,25.0497159090909
126708,10,23.6647727272727
123005,10,26.9176136363636
124937,10,25.6226325757576
124574,10,26.4322916666667
120961,10,26.0250946969697
120963,10,22.8267045454545
124067,10,25.3267045454545
120926,10,28.1628787878788
121041,10,24.4460227272727
121648,9,24.5738636363636
125733,10,21.015625
123690,10,25.4900568181818
126588,11,18.1202651515152
121827,10,24.9289772727273
120899,10,23.125
125692,10,24.2400568181818
120906,10,22.8385416666667
126746,10,26.2736742424242
125181,11,23.6860795454545
124428,11,22.2372159090909
124157,11,17.2774621212121
120879,10,30.2580492424242
125178,11,19.4015151515152
122352,10,24.5028409090909
121111,11,22.4479166666667
123748,12,16.9412878787879
124031,11,18.0184659090909
120688,11,21.7239583333333
125028,11,29.0033143939394
125145,11,16.3139204545455
120456,11,18.0965909090909
125158,11,18.5132575757576
125396,12,17.360321969697
120488,11,26.077178030303
124873,11,20.5397727272727
120158,12,14.9550189393939
124395,12,18.139678030303
123240,12,20.0232007575758
119195,12,21.9749053030303
124533,12,13.5913825757576
119480,12,17.4427083333333
125992,12,18.6837121212121
124652,12,22.8243371212121
122208,12,22.0213068181818
121795,12,16.7992424242424
119744,12,29.2239583333333
120649,12,19.6302083333333
124641,12,25.2982954545455
124043,12,21.3849431818182
119959,12,23.1221590909091
124255,12,17.2769886363636
120998,10,23.7073863636364
123128,10,22.4928977272727
119380,12,11.9910037878788
121679,9,23.9559659090909
126441,9,23.4090909090909
120131,12,16.2954545454545
119430,12,21.3754734848485
124332,12,24.8006628787879
124393,12,21.9247159090909
120083,12,18.2073863636364
126467,9,25.4758522727273
121032,10,23.2504734848485
121780,12,17.9351325757576
125885,10,21.3541666666667
120460,11,20.2964015151515
120473,11,26.1316287878788
123593,9,25.0355113636364
121682,9,25.0852272727273
122698,9,25.0852272727273
120126,12,26.2466856060606
121561,9,22.0999053030303
125977,9,26.3991477272727
125102,11,25.1870265151515
125398,11,20.5255681818182
122299,11,21.4346590909091
124589,12,13.1652462121212
124586,12,13.4895833333333
125196,12,18.5932765151515
119413,12,19.3825757575758
121078,10,23.6931818181818
125889,11,18.1486742424242
124205,10,30.5658143939394
124482,12,29.1690340909091
119515,12,20.8267045454545
120444,11,28.9767992424242
122696,10,32.0880681818182
126455,9,25.6155303030303
119832,12,21.1695075757576
124103,11,35.6344696969697
124587,12,12.0285714285714
119794,12,17.6770833333333
